Product Release,Support Status,General Availability,End of General Support,End of Technical Guidance,End of Availability,Category,Vendor
vRealize Orchestrator 8.7,Supported,2022-03-22,2023-03-22,,,,Vmware
vRealize Orchestrator 8.8,Supported,2022-04-28,2023-04-28,,,,Vmware
vRealize Orchestrator 8.8.1,Supported,2022-06-09,2023-06-09,,,,Vmware
vRealize Orchestrator 8.8.2,Supported,2022-07-12,2023-07-12,,,,Vmware
vRealize Orchestrator 8.9,Supported,2022-08-09,2023-08-09,,,,Vmware
vRealize Orchestrator 8.9.1,Supported,2022-08-30,2023-09-06,,,,Vmware
vRealize Orchestrator Plugin 1.5 for Horizon,Unsupported,2019-03-05,2021-03-05,2022-03-05,,,Vmware
vRealize Suite Lifecycle Manager 1.0,Unsupported,2017-09-19,2019-09-19,,,,Vmware
vRealize Suite Lifecycle Manager 1.1,Unsupported,2017-12-12,2019-09-19,,,,Vmware
vRealize Suite Lifecycle Manager 1.2,Unsupported,2018-04-12,2019-09-19,,,,Vmware
vRealize Suite Lifecycle Manager 1.3,Unsupported,2018-07-10,2020-12-17,,,,Vmware
vRealize Suite Lifecycle Manager 2.0,Unsupported,2018-09-20,2020-09-20,,,,Vmware
vRealize Suite Lifecycle Manager 2.1,Unsupported,2019-04-11,2021-10-31,,,,Vmware
vRealize Suite Lifecycle Manager 8.0,Unsupported,2019-10-17,2021-10-17,,,,Vmware
vRealize Suite Lifecycle Manager 8.1,Unsupported,2020-04-14,2021-10-17,,,,Vmware
vRealize Suite Lifecycle Manager 8.10,Supported,2022-10-11,2023-10-11,,,,Vmware
vRealize Suite Lifecycle Manager 8.2,Unsupported,2020-10-06,2022-10-31,,,,Vmware
vRealize Suite Lifecycle Manager 8.3,Unsupported,2021-02-04,2022-10-31,,,,Vmware
vRealize Suite Lifecycle Manager 8.4,Unsupported,2021-04-15,2022-10-31,,,,Vmware
vRealize Suite Lifecycle Manager 8.4.1,Unsupported,2021-05-27,2022-10-31,,,,Vmware
vRealize Suite Lifecycle Manager 8.6,Unsupported,2021-10-12,2022-10-31,,,,Vmware
vRealize Suite Lifecycle Manager 8.7,Supported,2022-03-22,2023-03-22,,,,Vmware
vRealize Suite Lifecycle Manager 8.8,Supported,2022-04-28,2023-04-28,,,,Vmware
vRealize True Visibility Suite 1.0.0,Supported,2020-10-06,2023-11-11,,,,Vmware
vSAN 5.5,Unsupported,2014-03-11,2018-09-19,2020-09-19,,,Vmware
"vSAN 6.0, 6.1 and 6.2",Unsupported,2015-03-12,2020-03-12,2022-03-12,,,Vmware
"vSAN 6.5, 6.6",Supported,2016-11-15,2022-10-15,2023-11-15,,,Vmware
vSAN 6.7,Supported,2018-04-17,2022-10-15,2023-11-15,,,Vmware
vSAN 7.0,Supported,2020-04-02,2025-04-02,2027-04-02,,,Vmware
vSAN™ 6.7,Supported,2018-04-17,2022-10-15,2023-11-15,,,Vmware
vSAN™ 6.7 U2,Supported,2019-04-11,2022-10-15,2023-11-15,,,Vmware
vSAN™ 6.7U1,Supported,2018-10-16,2022-10-15,2023-11-15,,,Vmware
vSAN™ 8.0,Supported,2022-10-11,2027-10-11,2029-10-11,,,Vmware
vShield App 1.0,Unsupported,2010-08-31,2012-09-01,,,,Vmware
vShield App 5.0,Unsupported,2011-09-01,2013-09-01,,,,Vmware
vShield Edge 1.0,Unsupported,2010-08-31,2012-09-01,,,,Vmware
vShield Edge 5.0,Unsupported,2011-09-01,2013-09-01,,,,Vmware
vShield Endpoint 1.0,Unsupported,2010-08-31,2012-09-01,,,,Vmware
vShield Endpoint 5.0,Unsupported,2011-09-01,2013-09-01,,,,Vmware
vShield Endpoint 5.1,Unsupported,2012-09-10,2014-09-10,,,,Vmware
vShield Zones 1.0,Unsupported,2009-05-21,2011-05-21,,,,Vmware
vShield Zones 4.1,Unsupported,2010-08-30,2013-08-30,,,,Vmware
vSphere 6.7 U2,Supported,2019-04-11,2022-10-15,2023-11-15,,,Vmware
vSphere Big Data Extensions 1.0,Unsupported,2013-09-19,2015-09-19,,,,Vmware
vSphere Big Data Extensions 2.0,Unsupported,2014-06-12,2016-06-12,,,,Vmware
vSphere Big Data Extensions 2.1,Unsupported,2014-10-14,2016-06-12,,,,Vmware
vSphere Big Data Extensions 2.2,Unsupported,2015-06-04,2016-06-12,,,,Vmware
vSphere Big Data Extensions 2.3,Unsupported,2015-12-08,2018-12-08,,,,Vmware
vSphere Data Protection 5.1,Unsupported,2012-09-10,2016-08-24,2018-08-24,,,Vmware
vSphere Data Protection 5.5 and 5.8,Unsupported,2013-09-19,2018-09-19,2020-09-19,,,Vmware
vSphere Data Protection 6.0,Unsupported,2015-03-12,2020-03-12,2022-03-12,,,Vmware
vSphere Data Protection 6.1,Unsupported,2015-09-10,2020-03-12,2022-03-12,,,Vmware
vSphere Data Protection Advanced 5.1,Unsupported,2013-03-14,2016-08-24,2018-08-24,2015-03-01,,Vmware
vSphere Data Protection Advanced 5.5 and 5.8,Unsupported,2013-11-14,2018-11-14,2020-11-14,2015-03-01,,Vmware
"vSphere Integrated Containers 1.0, 1.1, 1.2 and 1.3",Unsupported,2016-12-08,2018-12-08,,,,Vmware
vSphere Integrated Containers 1.4,Unsupported,2018-05-15,2019-05-15,,,,Vmware
vSphere Integrated Containers 1.5,Unsupported,2019-01-17,2020-01-17,,,,Vmware
vSphere Integrated Containers 1.5.4,Unsupported,2019-09-23,2021-08-31,,,,Vmware
vSphere Integrated Containers 1.5.5,Unsupported,2020-04-16,2021-08-31,,,,Vmware
vSphere Replication 5.1,Unsupported,2012-09-10,2016-08-24,2018-08-24,,,Vmware
vSphere Replication 5.5,Unsupported,2013-09-22,2018-09-22,2020-09-22,,,Vmware
vSphere Replication 5.6,Unsupported,2014-04-14,2018-09-22,2020-09-22,,,Vmware
vSphere Replication 5.8,Unsupported,2014-09-09,2018-09-22,2020-09-22,,,Vmware
vSphere Replication 6.0,Unsupported,2015-03-12,2020-03-12,2022-03-12,,,Vmware
vSphere Replication 6.1,Unsupported,2015-09-10,2020-03-12,2022-03-12,,,Vmware
vSphere Replication 6.5,Supported,2016-11-15,2021-11-15,2023-11-15,,,Vmware
vSphere Replication 8.1,Supported,2018-04-17,2021-11-15,2023-11-15,,,Vmware
vSphere Replication 8.2,Supported,2019-05-09,2021-11-15,2023-11-15,,,Vmware
vSphere Replication 8.3,Supported,2020-04-02,2023-04-01,2024-04-01,,,Vmware
vSphere Replication 8.4,Supported,2021-03-09,2023-04-01,2024-04-01,,,Vmware
vSphere Replication 8.5,Supported,2021-10-05,2023-10-01,2024-10-01,,,Vmware
vSphere Replication 8.6,Supported,2022-10-11,2025-10-11,2026-10-11,,,Vmware
vSphere Storage Appliance 1.0,Unsupported,2011-08-24,2013-08-24,,2014-04-01,,Vmware
vSphere Storage Appliance 5.1,Unsupported,2012-09-10,2014-09-10,,2014-04-01,,Vmware
vSphere Storage Appliance 5.5,Unsupported,2013-09-19,2018-09-19,2020-09-19,2014-04-01,,Vmware
Cisco Catalyst 2960 Series Switches,,,31/10/2019,,,switches,Cisco
Cisco Blade Switches for HP,,,31/07/2020,,,switches,Cisco
Cisco Switch Modules for IBM,,,31/07/2020,,,switches,Cisco
Cisco Catalyst 2960-S Series Switches,,,30/11/2020,,,switches,Cisco
Citrix NetScaler 1000V,,,30/05/2021,,,switches,Cisco
Cisco Catalyst 3750 Series Switches,,,31/05/2021,,,switches,Cisco
Cisco Catalyst 3560 Series Switches,,,31/05/2021,,,switches,Cisco
Cisco Catalyst 3560-C Series Switches,,,21/10/2021,,,switches,Cisco
Cisco Catalyst 3560-X Series Switches,,,31/10/2021,,,switches,Cisco
Cisco Catalyst 3750-X Series Switches,,,31/10/2021,,,switches,Cisco
Cisco Catalyst 2960-SF Series Switches,,,06/11/2021,,,switches,Cisco
Cisco Nexus 1100 Series Cloud Services Platforms,,,30/11/2021,,,switches,Cisco
Cisco Nexus 6000 Series Switches,,,30/04/2022,,,switches,Cisco
Cisco ME 3600X Series Ethernet Access Switches,,,31/10/2022,,,switches,Cisco
Cisco ME 3800X Series Carrier Ethernet Switch Routers,,,31/10/2022,,,switches,Cisco
Cisco ME 4600 Series Multiservice Optical Access Platform,,,28/02/2023,,,switches,Cisco
Cisco Small Business 500 Series Stackable Managed Switches,,,30/04/2023,,,switches,Cisco
Cisco ME 3400E Series Ethernet Access Switches,,,31/10/2023,,,switches,Cisco
Cisco Small Business 200 Series Smart Switches,,,31/10/2023,,,switches,Cisco
Cisco Small Business 300 Series Managed Switches,,,31/10/2023,,,switches,Cisco
Cisco Nexus 1000V Switch for Microsoft Hyper-V,,,11/12/2023,,,switches,Cisco
Cisco Nexus 1000V Switch for KVM,,,11/12/2023,,,switches,Cisco
Cisco Cloud Services Platform 2100,,,31/01/2024,,,switches,Cisco
Cisco Nexus 1000V Switch for VMware vSphere,,,31/07/2024,,,switches,Cisco
Cisco Industrial Ethernet 3000 Series Switches,,,30/06/2025,,,switches,Cisco
Cisco Virtual Security Gateway,,,30/09/2025,,,switches,Cisco
Cisco Nexus 1000VE,,,30/09/2025,,,switches,Cisco
Cisco Catalyst 4500-X Series Switches,,,31/10/2025,,,switches,Cisco
Cisco Catalyst 6500 Series Switches,,,31/10/2025,,,switches,Cisco
Cisco Catalyst 4500 Series Switches,,,31/10/2025,,,switches,Cisco
Cisco ME 1200 Series Carrier Ethernet Access Devices,,,31/03/2026,,,switches,Cisco
Cisco Catalyst 2960-Plus Series Switches,,,31/10/2026,,,switches,Cisco
Cisco Catalyst 2960-L Series Switches,,,31/10/2026,,,switches,Cisco
Cisco 2500 Series Connected Grid Switches,,,31/01/2027,,,switches,Cisco
Cisco Catalyst 6800 Series Switches,,,30/04/2027,,,switches,Cisco
Cisco Catalyst 3850 Series Switches,,,30/04/2027,,,switches,Cisco
Cisco 220 Series Smart Switches,,,31/07/2027,,,switches,Cisco
Cisco 350X Series Stackable Managed Switches,,,31/07/2027,,,switches,Cisco
Cisco 250 Series Smart Switches,,,31/07/2027,,,switches,Cisco
Cisco 550X Series Stackable Managed Switches,,,31/07/2027,,,switches,Cisco
Cisco Embedded Services 2020 Series Switches,,,31/07/2027,,,switches,Cisco
Cisco Catalyst 2960-XR Series Switches,,,31/10/2027,,,switches,Cisco
Cisco Catalyst 2960-X Series Switches,,,31/10/2027,,,switches,Cisco
Cisco Small Business 95 Series Unmanaged Switches,,,31/01/2028,,,switches,Cisco
Cisco Small Business 110 Series Unmanaged Switches,,,31/01/2028,,,switches,Cisco
Cisco 350 Series Managed Switches,,,31/01/2028,,,switches,Cisco
Cisco IPS 4200 Series Sensors,,,30/04/2020,,,security,Cisco
Cisco Secure Access Control System,,,31/08/2022,,,security,Cisco
Cisco SSL Appliances,,,31/08/2022,,,security,Cisco
Cisco FirePOWER 8000 Series Appliances,,,10/06/2024,,,security,Cisco
Cisco FirePOWER 7000 Series Appliances,,,10/06/2024,,,security,Cisco
Cisco 7200 Series Routers,,,29/09/2017,,,routers,Cisco
Cisco 7300 Series Routers,,,30/09/2017,,,routers,Cisco
Cisco XR 12000 Series Router,,,30/06/2020,,,routers,Cisco
Cisco 12000 Series Routers,,,30/06/2020,,,routers,Cisco
Cisco 900 Series Industrial Routers,,,28/02/2022,,,routers,Cisco
Cisco ASR 901S Series Aggregation Services Routers,,,31/03/2022,,,routers,Cisco
Cisco 3900 Series Integrated Services Routers,,,31/12/2022,,,routers,Cisco
Cisco 2900 Series Integrated Services Routers,,,31/12/2022,,,routers,Cisco
Cisco 1900 Series Integrated Services Routers,,,31/05/2025,,,routers,Cisco
Cisco ASR 901 Series Aggregation Services Routers,,,30/06/2025,,,routers,Cisco
Cisco Small Business RV Series Routers,,,31/10/2026,,,routers,Cisco
Cisco Integrated Services Virtual Router,,,31/12/2027,,,routers,Cisco
Cisco 5900 Series Embedded Services Routers,,,29/02/2028,,,routers,Cisco
Cisco 800 Series Industrial Integrated Services Routers,,,29/02/2028,,,routers,Cisco
Cisco Aironet 3500 Series,,,31/03/2021,,,wireless,Cisco
Cisco Universal Small Cell 9000 Series,,,31/05/2021,,,wireless,Cisco
Cisco Aironet 2600 Series,,,31/12/2021,,,wireless,Cisco
Cisco Aironet 3600 Series,,,31/12/2021,,,wireless,Cisco
Cisco Aironet 1600 Series,,,31/12/2021,,,wireless,Cisco
Cisco Context-Aware Software,,,31/01/2022,,,wireless,Cisco
Cisco Flex 7500 Series Wireless Controllers,,,30/04/2022,,,wireless,Cisco
Cisco 5700 Series Wireless LAN Controllers,,,30/04/2022,,,wireless,Cisco
Cisco Universal Small Cell 7000 Series,,,31/07/2022,,,wireless,Cisco
Cisco Universal Small Cell 8000 Series,,,31/07/2022,,,wireless,Cisco
Cisco Universal Small Cell 3000 Series,,,31/07/2022,,,wireless,Cisco
Cisco Access Policy Server,,,30/04/2023,,,wireless,Cisco
Cisco 2500 Series Wireless Controllers,,,30/04/2023,,,wireless,Cisco
Cisco Policy Suite for Wi-Fi,,,31/08/2023,,,wireless,Cisco
Cisco Policy Suite for BNG,,,31/08/2023,,,wireless,Cisco
Cisco Aironet 1530 Series,,,30/04/2024,,,wireless,Cisco
Cisco Aironet 3700 Series Access Points,,,30/04/2024,,,wireless,Cisco
Cisco Aironet 2700 Series Access Points,,,30/04/2024,,,wireless,Cisco
Cisco Aironet 1700 Series Access Points,,,30/04/2024,,,wireless,Cisco
Cisco Aironet 1810 Series OfficeExtend Access Points,,,31/10/2024,,,wireless,Cisco
Cisco Aironet 1810w Series Access Points,,,31/10/2024,,,wireless,Cisco
Cisco Aironet 1550 Series,,,31/12/2024,,,wireless,Cisco
Cisco Aironet 1570 Series,,,30/11/2025,,,wireless,Cisco
Cisco Catalyst 9117AX Series Access Points,,,30/04/2026,,,wireless,Cisco
Cisco 8500 Series Wireless Controllers,,,31/01/2027,,,wireless,Cisco
Cisco 5500 Series Wireless Controllers,,,31/01/2027,,,wireless,Cisco
Cisco Virtual Wireless Controller,,,31/01/2027,,,wireless,Cisco
Cisco 3500 Series Wireless Controllers,,,31/01/2027,,,wireless,Cisco
Cisco Aironet 1800 Access Points,,,30/04/2027,,,wireless,Cisco
Cisco Aironet 1840 Series Access Points,,,30/04/2027,,,wireless,Cisco
Cisco Aironet 1815 Series Access Points,,,30/04/2027,,,wireless,Cisco
Cisco Aironet 1850 Series Access Points,,,30/04/2027,,,wireless,Cisco
Cisco Aironet 1540 Series,,,30/04/2027,,,wireless,Cisco
Cisco Aironet 1830 Series Access Points,,,30/04/2027,,,wireless,Cisco
Cisco Aironet 3800 Series Access Points,,,31/10/2027,,,wireless,Cisco
Cisco Aironet 2800 Series Access Points,,,31/10/2027,,,wireless,Cisco
Cisco Aironet 4800 Access Points,,,31/10/2027,,,wireless,Cisco
Cisco Aironet 1560 Series,,,31/01/2028,,,wireless,Cisco
Cisco TelePresence Serial Gateway Series,,,31/05/2022,,,unified communications,Cisco
Cisco TelePresence ISDN Gateway,,,31/05/2022,,,unified communications,Cisco
Cisco Business Edition 4000,,,31/05/2023,,,unified communications,Cisco
Cisco Unity Express,,,31/10/2023,,,unified communications,Cisco
Cisco TelePresence Video Communication Server (VCS),,,31/12/2023,,,unified communications,Cisco
Cisco Unified SIP Proxy,,,30/09/2025,,,unified communications,Cisco
Cisco Unified IP Phone 8900 Series,,,31/03/2021,,,collaboration endpoints,Cisco
Cisco Unified IP Phone 9900 and 8900 Series Accessories,,,31/07/2021,,,collaboration endpoints,Cisco
Cisco Unified IP Phones 9900 Series,,,31/07/2021,,,collaboration endpoints,Cisco
Cisco IP Communicator,,,30/09/2021,,,collaboration endpoints,Cisco
Cisco TelePresence System EX Series,,,31/08/2022,,,collaboration endpoints,Cisco
Cisco TelePresence MX Series,,,31/03/2024,,,collaboration endpoints,Cisco
Cisco TelePresence IX5000 Series,,,31/10/2024,,,collaboration endpoints,Cisco
Cisco TelePresence SX Series,,,31/01/2025,,,collaboration endpoints,Cisco
Cisco Webex Share,,,31/10/2026,,,collaboration endpoints,Cisco
Cisco Prime Fulfillment Multivendor Service Orchestration,,,31/03/2021,,,cloud system management,Cisco
Cisco NetFlow Generation 3000 Series Appliances,,,30/11/2021,,,cloud system management,Cisco
Cisco Prime Optical,,,31/01/2022,,,cloud system management,Cisco
Cisco Prime Home,,,28/02/2022,,,cloud system management,Cisco
Cisco Nexus Fabric Manager,,,30/06/2023,,,cloud system management,Cisco
Cisco Kinetic,,,31/01/2024,,,cloud system management,Cisco
Cisco Application Policy Infrastructure Controller Enterprise Module,,,29/02/2024,,,cloud system management,Cisco
Cisco Kinetic for Cities,,,30/04/2024,,,cloud system management,Cisco
Cisco CloudCenter,,,31/05/2024,,,cloud system management,Cisco
Cisco NAM 2000 Series Appliances,,,30/06/2024,,,cloud system management,Cisco
Cisco CloudCenter Suite,,,31/10/2024,,,cloud system management,Cisco
Cisco Prime Network Services Controller,,,30/09/2025,,,cloud system management,Cisco
Cisco TelePresence MCU MSE Series,,,31/05/2022,,,conferencing,Cisco
Cisco TelePresence MCU 5300 Series,,,31/05/2022,,,conferencing,Cisco
Cisco TelePresence Content Server,,,31/05/2022,,,conferencing,Cisco
Cisco TelePresence MSE 8000 Series,,,31/05/2022,,,conferencing,Cisco
Cisco Webex Meetings Server,,,31/07/2023,,,conferencing,Cisco
Cisco Physical Access Manager,,,31/05/2019,,,connected-safety-security,Cisco
Cisco Video Analytics,,,30/04/2021,,,connected-safety-security,Cisco
Cisco Physical Access Gateways,,,31/05/2021,,,connected-safety-security,Cisco
Cisco Video Surveillance Storage System,,,31/05/2021,,,connected-safety-security,Cisco
Cisco Video Surveillance Encoders,,,31/07/2021,,,connected-safety-security,Cisco
Cisco Video Surveillance PTZ IP Cameras,,,31/08/2022,,,connected-safety-security,Cisco
Cisco Video Surveillance 6000 Series IP Cameras,,,31/01/2023,,,connected-safety-security,Cisco
Cisco Video Surveillance Manager,,,24/07/2023,,,connected-safety-security,Cisco
Virtualized Applications for UCS,,,31/07/2023,,,connected-safety-security,Cisco
Cisco Video Surveillance Virtual Matrix Software,,,31/07/2023,,,connected-safety-security,Cisco
Cisco IP Camera Applications and Utilities,,,31/07/2023,,,connected-safety-security,Cisco
Cisco Video Surveillance Operations Manager Software,,,31/07/2023,,,connected-safety-security,Cisco
Cisco Video Surveillance 7000 Series IP Cameras,,,31/10/2023,,,connected-safety-security,Cisco
Cisco Video Surveillance 3000 Series IP Cameras,,,30/04/2025,,,connected-safety-security,Cisco
Cisco Video Surveillance 8000 Series IP Cameras,,,31/07/2025,,,connected-safety-security,Cisco
Cisco Carrier Packet Transport (CPT) System,,,30/06/2023,,,optical networking,Cisco
